Level	Height	Width	Mines	Time	3BV	Solved	3BV/sec	Est	Left	Middle	Right	Date	Started
Int	16	16	40	3,09	88	6	1,94	45,32	9	0	0	mars 17 2022	09:26:28 AM
Int	16	16	40	29,07	62	14	0,48	128,74	30	0	8	mars 17 2022	09:26:32 AM
Int	16	16	40	0,58	68	0	0,00	0,00	3	0	0	mars 17 2022	09:27:03 AM
Int	16	16	40	0,27	81	1	3,70	21,87	2	0	0	mars 17 2022	09:27:05 AM
Int	16	16	40	3,70	59	3	0,81	72,77	11	0	0	mars 17 2022	09:27:07 AM
Int	16	16	40	1,71	70	3	1,75	39,90	6	0	0	mars 17 2022	09:27:12 AM
Int	16	16	40	38,20	56	19	0,50	112,59	23	1	17	mars 17 2022	09:27:16 AM
Int	16	16	40	13,39	65	6	0,45	145,06	9	2	4	mars 17 2022	09:27:56 AM
Int	16	16	40	21,92	33	9	0,41	80,37	14	0	8	mars 17 2022	09:28:10 AM
Int	16	16	40	24,95	75	8	0,32	233,91	20	0	8	mars 17 2022	09:28:34 AM
Int	16	16	40	18,05	83	8	0,44	187,27	16	0	4	mars 17 2022	09:29:01 AM
Int	16	16	40	1,64	70	3	1,83	38,27	6	0	0	mars 17 2022	09:29:23 AM
Int	16	16	40	2,49	69	2	0,80	85,91	8	0	0	mars 17 2022	09:29:26 AM
Int	16	16	40	9,16	63	6	0,66	96,18	8	0	4	mars 17 2022	09:29:30 AM
Int	16	16	40	0,31	71	0	0,00	0,00	2	0	0	mars 17 2022	09:29:41 AM
Int	16	16	40	26,80	73	14	0,52	139,74	15	0	12	mars 17 2022	09:29:43 AM
Int	16	16	40	10,84	67	3	0,28	242,09	8	1	5	mars 17 2022	09:30:12 AM
Int	16	16	40	0,47	61	0	0,00	0,00	2	0	0	mars 17 2022	09:30:24 AM
Int	16	16	40	0,35	61	0	0,00	0,00	2	0	0	mars 17 2022	09:30:26 AM
